t,s,l,time,newtime,rssi
0,0,0,32,221,-67

0,2,2,9,75,-68

0,3,3,9,83,-67

0,4,4,9,104,-67

0,5,5,12,98,-68

0,6,6,9,220,-68

0,7,7,10,108,-68

0,8,8,10,116,-67

0,9,9,10,120,-67

0,10,10,39,126,-67

0,11,11,9,150,-67

0,12,12,14,219,-68

0,13,13,9,152,-67

0,14,14,8,172,-67

0,15,15,9,167,-68

0,16,16,8,167,-68

0,17,17,8,176,-67

0,18,18,9,84,-68

0,19,19,7,85,-68

0,20,20,6,91,-68

0,21,21,5,100,-68

0,22,22,8,106,-68

0,23,23,6,115,-67

0,24,24,18,122,-68

0,25,25,8,138,-69

0,26,26,8,206,-68

0,27,27,7,146,-68

0,28,28,7,157,-67

0,29,29,6,161,-67

0,30,30,7,165,-67

0,31,31,7,173,-68

0,32,32,5,188,-68

0,33,33,7,190,-68

0,34,34,6,93,-68

0,35,35,11,102,-68

0,36,36,6,107,-69

0,37,37,6,113,-68

0,38,38,6,117,-67

0,39,39,42,242,-68

0,40,40,9,156,-69

0,41,41,8,220,-68

0,42,42,9,155,-69

0,43,43,7,161,-68

0,44,44,6,61,-69

0,45,45,8,76,-68

0,46,46,7,78,-68

0,47,47,7,87,-68

0,48,48,6,88,-68

0,49,49,6,101,-68

0,50,50,6,103,-68

0,51,51,6,111,-68

0,52,52,161,342,-69

0,53,53,19,124,-68

0,54,54,9,136,-68

0,55,55,8,182,-68

0,56,56,8,273,-68

0,57,57,8,157,-69

0,58,58,7,167,-68

0,59,59,6,175,-68

0,60,60,6,89,-68

0,61,61,7,88,-68

0,62,62,7,98,-68

0,63,63,6,104,-68

0,64,64,6,114,-70

0,65,65,6,128,-68

0,66,66,5,129,-68

0,67,67,6,156,-69

0,68,68,20,143,-68

0,69,69,9,153,-68

0,70,70,11,217,-68

0,71,71,7,70,-68

0,72,72,6,76,-68

0,73,73,7,98,-68

0,74,74,7,89,-68

0,75,75,6,94,-67

0,76,76,7,104,-67

0,77,77,6,112,-67

