t,s,l,time,newtime
0,6,0,143,216

0,8,2,143,238

0,9,3,644,666

0,10,4,144,262

0,11,5,645,673

0,12,6,145,286

0,13,7,646,696

0,14,8,146,310

0,15,9,647,727

0,16,10,147,173

0,17,11,647,744

0,18,12,148,172

0,47,13,667,733

0,48,14,168,220

0,49,15,669,757

0,50,16,170,371

0,51,17,670,782

0,52,18,171,395

0,53,19,671,698

0,54,20,172,215

0,55,21,673,829

0,56,22,174,239

0,57,23,674,853

0,58,24,174,263

0,59,25,674,879

0,60,26,174,289

0,61,27,674,902

0,62,28,174,201

0,63,29,675,721

0,64,30,175,335

0,65,31,676,746

0,66,32,176,361

0,67,33,677,770

0,68,34,178,384

0,69,35,679,795

0,70,36,180,410

0,71,37,681,703

0,72,38,182,228

0,73,39,682,841

0,74,40,183,253

0,75,41,684,867

0,76,42,184,277

0,77,43,684,890

0,78,44,185,300

0,79,45,686,915

0,80,46,185,208

0,81,47,685,734

0,82,48,186,348

0,83,49,686,764

0,84,50,186,373

0,85,51,687,783

0,86,52,187,397

0,87,53,688,807

0,88,54,189,216

0,89,55,689,830

0,90,56,190,241

0,91,57,690,854

0,92,58,191,265

0,93,59,692,878

0,94,60,196,288

0,95,61,694,902

0,96,62,194,312

0,97,63,694,722

0,98,64,195,337

0,99,65,695,747

0,100,66,196,365

0,101,67,696,770

0,102,68,197,385

0,103,69,698,795

0,104,70,198,412

0,105,71,697,819

0,106,72,198,228

0,107,73,699,843

0,108,74,200,253

0,109,75,701,868

0,110,76,201,277

0,111,77,703,892

0,112,78,204,227

0,113,79,704,916

0,114,80,204,325

0,115,81,704,736

0,116,82,205,349

0,117,83,706,759

0,118,84,206,373

0,119,85,707,783

0,120,86,208,397

0,121,87,709,808

0,122,88,210,422

0,123,89,711,832

0,124,90,212,241

0,125,91,713,855

0,126,92,214,266

0,127,93,715,881

0,128,94,216,291

0,129,95,717,904

0,130,96,217,314

0,131,97,717,741

0,132,98,218,341

0,133,99,718,750

0,134,100,219,362

0,135,101,720,775

0,136,102,220,385

0,137,103,721,795

0,138,104,222,411

0,139,105,722,819

0,140,106,223,245

0,141,107,724,844

0,142,108,224,255

0,143,109,725,868

0,144,110,225,279

0,145,111,726,892

0,146,112,227,302

0,147,113,728,916

0,148,114,228,326

0,149,115,728,751

0,150,116,229,353

0,151,117,730,772

0,152,118,231,374

0,153,119,732,784

0,154,120,233,398

0,155,121,734,808

0,156,122,235,422

0,157,123,735,835

0,158,124,236,259

0,159,125,737,857

0,160,126,238,267

0,161,127,737,882

0,162,128,238,305

0,163,129,738,906

0,164,130,238,313

0,165,131,739,763

0,166,132,240,338

0,167,133,741,764

0,168,134,242,268

0,169,135,742,771

0,170,136,242,389

0,171,137,743,795

0,172,138,243,409

0,173,139,743,820

0,174,140,244,267

0,175,141,745,845

0,176,142,246,457

0,177,143,746,866

0,178,144,247,277

0,179,145,747,894

